per,toa,toa.1,id,country,inst_size,inst_mob_size,mob_share,per.1,toa.2,ego_country,pub_no,ego_net_size_no,collab_country_no,toa_old,id.1,lagged_expo,adopted,lagged_int_expo,lagged_reg_expo,lagged_nat_expo,id.2
1996,2001,2001,60000986,usa,150,58,0.387,1996,2001,NA,NA,NA,NA,NA,60000986,NA,0,NA,NA,NA,60000986
1996,2005,2005,60001001,usa,194,93,0.479,1996,2005,NA,NA,NA,NA,NA,60001001,NA,0,NA,NA,NA,60001001
1996,2007,2007,60001115,usa,25,10,0.4,1996,2007,NA,NA,NA,NA,NA,60001115,NA,0,NA,NA,NA,60001115
1996,1997,1997,60001117,usa,221,94,0.425,1996,1997,usa,1,3,2,1996,60001117,NA,0,NA,NA,NA,60001117
1996,2016,2016,60001224,usa,14,6,0.429,1996,2016,NA,NA,NA,NA,NA,60001224,NA,0,NA,NA,NA,60001224
1996,2010,2010,60001303,usa,3,0,0,1996,2010,NA,NA,NA,NA,NA,60001303,NA,0,NA,NA,NA,60001303
1996,1997,1997,60001344,usa,5,2,0.4,1996,1997,usa,1,1,1,1996,60001344,NA,0,NA,NA,NA,60001344
1996,2004,2004,60001361,usa,120,49,0.408,1996,2004,NA,NA,NA,NA,NA,60001361,NA,0,NA,NA,NA,60001361
1996,2013,2013,60001362,usa,2,0,0,1996,2013,NA,NA,NA,NA,NA,60001362,NA,0,NA,NA,NA,60001362
1996,2011,2011,60001413,usa,4,2,0.5,1996,2011,NA,NA,NA,NA,NA,60001413,NA,0,NA,NA,NA,60001413
1996,2010,2010,60001426,usa,2,0,0,1996,2010,NA,NA,NA,NA,NA,60001426,NA,0,NA,NA,NA,60001426
1996,1997,1997,60001439,usa,51,26,0.51,1996,1997,usa,1,2,2,1996,60001439,NA,0,NA,NA,NA,60001439
1996,2001,2001,60001440,usa,14,2,0.143,1996,2001,NA,NA,NA,NA,NA,60001440,NA,0,NA,NA,NA,60001440
1996,2013,2013,60001456,usa,10,2,0.2,1996,2013,NA,NA,NA,NA,NA,60001456,NA,0,NA,NA,NA,60001456
1996,2011,2011,60001462,usa,9,6,0.667,1996,2011,NA,NA,NA,NA,NA,60001462,NA,0,NA,NA,NA,60001462
1996,2006,2006,60001525,usa,30,2,0.067,1996,2006,NA,NA,NA,NA,NA,60001525,NA,0,NA,NA,NA,60001525
1996,2008,2008,60001526,usa,31,7,0.226,1996,2008,NA,NA,NA,NA,NA,60001526,NA,0,NA,NA,NA,60001526
1996,2017,2017,60001527,usa,5,2,0.4,1996,2017,NA,NA,NA,NA,NA,60001527,NA,0,NA,NA,NA,60001527
1996,2004,2004,60001536,usa,18,9,0.5,1996,2004,NA,NA,NA,NA,NA,60001536,NA,0,NA,NA,NA,60001536
1996,2014,2014,60001555,usa,3,1,0.333,1996,2014,NA,NA,NA,NA,NA,60001555,NA,0,NA,NA,NA,60001555
1996,2014,2014,60001562,usa,7,3,0.429,1996,2014,NA,NA,NA,NA,NA,60001562,NA,0,NA,NA,NA,60001562
1996,2006,2006,60001609,usa,15,3,0.2,1996,2006,NA,NA,NA,NA,NA,60001609,NA,0,NA,NA,NA,60001609
1996,2002,2002,60001647,usa,52,15,0.288,1996,2002,NA,NA,NA,NA,NA,60001647,NA,0,NA,NA,NA,60001647
1996,2000,2000,60001673,usa,11,3,0.273,1996,2000,NA,NA,NA,NA,NA,60001673,NA,0,NA,NA,NA,60001673
1996,2008,2008,60001681,usa,11,2,0.182,1996,2008,NA,NA,NA,NA,NA,60001681,NA,0,NA,NA,NA,60001681
1996,2007,2007,60001769,usa,6,2,0.333,1996,2007,NA,NA,NA,NA,NA,60001769,NA,0,NA,NA,NA,60001769
1996,2015,2015,60001844,usa,3,1,0.333,1996,2015,NA,NA,NA,NA,NA,60001844,NA,0,NA,NA,NA,60001844
1996,2017,2017,60001931,usa,3,1,0.333,1996,2017,NA,NA,NA,NA,NA,60001931,NA,0,NA,NA,NA,60001931
1996,2006,2006,60002023,usa,10,1,0.1,1996,2006,NA,NA,NA,NA,NA,60002023,NA,0,NA,NA,NA,60002023
1996,2017,2017,60002053,usa,5,2,0.4,1996,2017,NA,NA,NA,NA,NA,60002053,NA,0,NA,NA,NA,60002053
1996,2011,2011,60002058,usa,15,7,0.467,1996,2011,NA,NA,NA,NA,NA,60002058,NA,0,NA,NA,NA,60002058
1996,2003,2003,60002092,usa,19,6,0.316,1996,2003,NA,NA,NA,NA,NA,60002092,NA,0,NA,NA,NA,60002092
1996,1998,1998,60002173,can,45,26,0.578,1996,1998,NA,NA,NA,NA,NA,60002173,NA,0,NA,NA,NA,60002173
1996,2007,2007,60002194,usa,10,4,0.4,1996,2007,NA,NA,NA,NA,NA,60002194,NA,0,NA,NA,NA,60002194
1996,2010,2010,60002214,usa,9,1,0.111,1996,2010,NA,NA,NA,NA,NA,60002214,NA,0,NA,NA,NA,60002214
1996,2008,2008,60002227,usa,23,0,0,1996,2008,NA,NA,NA,NA,NA,60002227,NA,0,NA,NA,NA,60002227
1996,2004,2004,60002228,usa,16,13,0.813,1996,2004,NA,NA,NA,NA,NA,60002228,NA,0,NA,NA,NA,60002228
1996,2017,2017,60002243,usa,7,3,0.429,1996,2017,NA,NA,NA,NA,NA,60002243,NA,0,NA,NA,NA,60002243
1996,2016,2016,60002262,usa,4,2,0.5,1996,2016,NA,NA,NA,NA,NA,60002262,NA,0,NA,NA,NA,60002262
1996,2001,2001,60002306,can,111,56,0.505,1996,2001,NA,NA,NA,NA,NA,60002306,NA,0,NA,NA,NA,60002306
1996,2016,2016,60002337,usa,3,0,0,1996,2016,NA,NA,NA,NA,NA,60002337,NA,0,NA,NA,NA,60002337
1996,2008,2008,60002339,usa,34,17,0.5,1996,2008,NA,NA,NA,NA,NA,60002339,NA,0,NA,NA,NA,60002339
1996,1998,1998,60002388,usa,143,58,0.406,1996,1998,usa,7,9,3,1996,60002388,NA,0,NA,NA,NA,60002388
1996,2006,2006,60002396,usa,9,2,0.222,1996,2006,NA,NA,NA,NA,NA,60002396,NA,0,NA,NA,NA,60002396
1996,1998,1998,60002441,usa,230,92,0.4,1996,1998,NA,NA,NA,NA,NA,60002441,NA,0,NA,NA,NA,60002441
1996,2012,2012,60002462,usa,2,1,0.5,1996,2012,NA,NA,NA,NA,NA,60002462,NA,0,NA,NA,NA,60002462
1996,2007,2007,60002476,usa,42,12,0.286,1996,2007,NA,NA,NA,NA,NA,60002476,NA,0,NA,NA,NA,60002476
1996,1998,1998,60002494,can,122,81,0.664,1996,1998,can,1,4,2,1996,60002494,NA,0,NA,NA,NA,60002494
1996,2002,2002,60002507,usa,6,2,0.333,1996,2002,NA,NA,NA,NA,NA,60002507,NA,0,NA,NA,NA,60002507
1996,2009,2009,60002526,usa,3,2,0.667,1996,2009,NA,NA,NA,NA,NA,60002526,NA,0,NA,NA,NA,60002526
1996,2013,2013,60002557,usa,3,2,0.667,1996,2013,NA,NA,NA,NA,NA,60002557,NA,0,NA,NA,NA,60002557
1996,2001,2001,60002600,usa,35,19,0.543,1996,2001,NA,NA,NA,NA,NA,60002600,NA,0,NA,NA,NA,60002600
1996,2015,2015,60002645,usa,3,1,0.333,1996,2015,NA,NA,NA,NA,NA,60002645,NA,0,NA,NA,NA,60002645
1996,2010,2010,60002717,usa,8,2,0.25,1996,2010,NA,NA,NA,NA,NA,60002717,NA,0,NA,NA,NA,60002717
1996,1996,1996,60002746,usa,1058,458,0.433,1996,1996,usa,2,10,4,1996,60002746,NA,1,NA,NA,NA,60002746
1996,2014,2014,60002804,usa,7,1,0.143,1996,2014,NA,NA,NA,NA,NA,60002804,NA,0,NA,NA,NA,60002804
1996,2003,2003,60002860,usa,13,5,0.385,1996,2003,NA,NA,NA,NA,NA,60002860,NA,0,NA,NA,NA,60002860
1996,2013,2013,60002873,usa,4,1,0.25,1996,2013,NA,NA,NA,NA,NA,60002873,NA,0,NA,NA,NA,60002873
