afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
60009963,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.142857143,0.5,0,0.166666667,0.5
60009968,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0.090909091
60009999,NA,0,0,0,0,0.5,0,0,0.666666667,0,0,0,0,0,0.2,0,0,0,0.25,0.333333333,0.142857143,0.05
60010062,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.375,0.083333333,0.5
60010104,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010110,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.2,0,0
60010146,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.4
60010164,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010184,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0
60010209,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
60010348,NA,0,0,0,0.5,1,0,0,0,0,0,0,0,0.5,0.5,0.333333333,0.142857143,0.5,0.285714286,0.444444444,0.294117647,0.172413793
60010410,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010413,NA,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.666666667,0,0,1,0,0.5,0.5
60010612,NA,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0
60010678,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667
60010758,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010769,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.166666667,0.166666667,0,0,0,0.666666667,0.2
60010811,NA,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0.1,0,0
60010814,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010844,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60010987,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
60011100,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0.5,0.571428571,0.219512195,0.333333333,0.333333333,0.064516129
60011112,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011149,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.1,0,0,0,0.125
60011155,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0
60011170,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.375,0.875,0.714285714,1,0.75
60011202,NA,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0
60011274,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.666666667,0.5,0.5,0.25,0
60011303,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011373,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.4,0,0.25
60011394,NA,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.125,1,0,0,0,0.2,0.117647059,0.166666667,0.060606061
60011427,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011476,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011512,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011551,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011556,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011576,NA,0,0,0,0,0,0,0,0,0,0,0.5,0,0.333333333,0,0.25,0.333333333,0.333333333,0,0.208333333,0.25,0.272727273
60011672,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011673,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011766,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.142857143,0.230769231,0,0,0.666666667
60011805,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60011857,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011909,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
