"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"106004279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"106093118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106106433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106113882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106118160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106192959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106202006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106283846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106321123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106409365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106426722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"106441407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106536410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"106540485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"106562040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106582539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106586107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106587540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106589200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106598826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
