"","per","toa","toa.1","id","country","inst_size","inst_mob_size","mob_share","per.1","toa.2","ego_country","pub_no","ego_net_size_no","collab_country_no","toa_old","n_refs","zebra_cited_no","zebra_cited_per","id.1","lagged_int_expo","lagged_reg_expo","lagged_nat_expo","adopted","id.2","pub_n"
"146",1996,2016,2016,"60001282","chl",12,2,0.167,1996,2016,NA,NA,NA,NA,NA,NA,NA,NA,"60001282",NA,NA,NA,0,"60001282",NA
"147",1996,2007,2007,"60001563","arg",15,10,0.667,1996,2007,NA,NA,NA,NA,NA,NA,NA,NA,"60001563",NA,NA,NA,0,"60001563",NA
"148",1996,NA,NA,"60001701","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60001701",NA,NA,NA,0,"60001701",NA
"149",1996,NA,NA,"60001865","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60001865",NA,NA,NA,0,"60001865",NA
"150",1996,2011,2011,"60001890","bra",48,9,0.188,1996,2011,NA,NA,NA,NA,NA,NA,NA,NA,"60001890",NA,NA,NA,0,"60001890",NA
"151",1996,2007,2007,"60002218","arg",3,2,0.667,1996,2007,NA,NA,NA,NA,NA,NA,NA,NA,"60002218",NA,NA,NA,0,"60002218",NA
"152",1996,NA,NA,"60002281","mex",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60002281",NA,NA,NA,0,"60002281",NA
"153",1996,2005,2005,"60002636","chl",38,16,0.421,1996,2005,NA,NA,NA,NA,NA,NA,NA,NA,"60002636",NA,NA,NA,0,"60002636",NA
"154",1996,2010,2010,"60002864","arg",5,5,1,1996,2010,NA,NA,NA,NA,NA,NA,NA,NA,"60002864",NA,NA,NA,0,"60002864",NA
"155",1996,2001,2001,"60002946","chl",58,22,0.379,1996,2001,"chl",1,1,1,1996,"na","na","na","60002946",NA,NA,NA,0,"60002946",1
"156",1996,2016,2016,"60003079","bra",2,1,0.5,1996,2016,NA,NA,NA,NA,NA,NA,NA,NA,"60003079",NA,NA,NA,0,"60003079",NA
